rep,id,eta_beta_exp,eta_p,eta_rho,eta_phi_power,eta_delta_0,eta_t00,eta_TT,eta_I_rho,Classification,Group
1,569,0.398085601806225,-0.0383087047658821,0.0241552569876832,-0.0558824039388471,0.0101021633955659,1.08087505617158,-0.0671443625984487,-0.302500144880584,Viral Rebound,1
2,569,0.572083558850141,0.023397765165429,0.517010754564716,0.151356018097863,-0.118035837029521,1.4717237589164,0.732297125903392,0.237540657051005,Viral Rebound,1
3,569,0.0969151469391092,-0.0251486581662823,0.558601135554805,-0.0927516223011238,0.305334066831561,0.412692897186242,0.0790843688680508,-0.60431420922438,Viral Rebound,1
4,569,0.392342537713943,-0.0568352274039133,-0.0632780585985649,0.126892604284963,0.0408294844314125,0.620168591957603,0.107468590826544,0.597137517100449,Viral Rebound,1
5,569,-0.501187817550658,0.00125769565249582,0.547506149705079,0.0824071731673561,-0.14332296598349,0.974835922005524,0.190226373814448,-1.16705944605749,Viral Rebound,1
6,569,0.266091526067518,0.00146561786711738,-0.582027865422365,0.0489181566090631,-0.202640394341919,0.0048446263060707,0.102059522026103,1.42511124514372,Viral Rebound,1
7,569,0.165220126176734,0.0169047264280544,0.207916746440316,-0.00599723585430386,0.0322829449927634,0.721410598611684,-0.025624876698819,0.659845692852753,Viral Rebound,1
8,569,-0.318245141968085,-0.055076841018659,0.652640302641056,-0.0337456352310523,0.129443524899402,0.319748467497389,-0.38355570887608,0.932808366574463,Viral Rebound,1
9,569,-0.357323439204422,0.00160332851863646,-0.452003533251909,0.0882189079637346,-0.1241436983678,0.0506500301351327,-0.0880407665148542,1.31319827076321,Viral Rebound,1
10,569,0.586286980606878,-0.0125495712270063,0.207989301964666,-0.0614515858933121,0.0262058431684491,0.23335762669247,0.42091078079634,0.916589147999296,Viral Rebound,1
1,659,0.150799245900381,0.01521992789326,0.455497436169023,-0.0285535944361015,0.47618292091953,-0.84655409058341,0.459802707558875,0.686358879328014,Viral Rebound,1
2,659,-0.594250310814573,-0.00734864820328345,0.430185698207245,-0.00575305714653462,0.204188698137123,-0.274151591252288,0.436137751917128,-0.643218029592713,Viral Rebound,1
3,659,-0.725933842062929,0.0381705862243121,0.0284094573933601,-0.0124096577130103,0.309594559496597,-0.44836801085724,0.312625053158041,0.354907033814211,Viral Rebound,1
4,659,-0.520604050766545,-0.0461452941071428,-1.75652678646439,-0.116112773512637,0.293066981480684,-0.353783992618113,0.265236064080842,0.258340725108838,Viral Rebound,1
5,659,-0.885676349132972,0.0380545601799991,0.153417610775889,-0.0331524160921785,0.397067848534491,-0.296746276113978,-0.0471184467413417,-0.647232283937624,Viral Rebound,1
6,659,-0.225848159608226,0.012593553808036,-1.15551653516173,0.0699568508214882,0.133698193237038,-0.204114907799149,0.210341926001333,-1.51231130770553,Viral Rebound,1
7,659,-0.316613069879517,0.0147173870667745,-1.55855263654075,-0.00314489873241598,0.387689066090936,0.225393565571682,0.210341926001333,-0.276294574102732,Viral Rebound,1
8,659,0.161944754603137,0.027748834898393,1.11756049375884,0.0762591269503007,0.183591714667479,-0.433946530447465,0.605805070525196,0.0714817820580452,Viral Rebound,1
9,659,-0.157139782370048,0.00918315555259034,-1.46198984442621,-0.0236841013354687,0.304899113545367,-0.481690297525909,0.247067997938724,-1.78733556540763,Viral Rebound,1
10,659,-0.941795106993527,0.0405412719826247,-0.270280097293721,-0.0578404610023818,0.0533457505141838,-0.0141297772221332,0.488514107531308,0.00483299179961533,Viral Rebound,1
1,687,0.532813087138665,0.0571879239129891,0.606337266616064,-0.0673063796839454,-0.0389869286167165,0.0740410562191914,-0.098549823126247,0.984822340450806,Viral Rebound,1
2,687,0.318439421962079,0.00538602860019572,1.41553582723146,-0.141447031466577,-0.0612132562876552,-0.0412116110494376,-0.0607505270597326,1.09848319899685,Viral Rebound,1
3,687,0.0650813780574742,-0.0209960525419079,0.231732584072028,-0.0847074211892852,-0.190747953820873,-0.198014857961034,-0.0250715910866419,1.67448110477788,Viral Rebound,1
4,687,-0.0921282914918433,0.0121675202461855,1.25250371593066,0.0495185693034015,-0.0187047412552046,0.291753898524412,-0.206087218510284,0.544233040706022,Viral Rebound,1
5,687,-0.108432956000173,0.00783361572176947,0.713545372072438,0.0344067792004548,0.0462249185041397,-0.590950387477451,-0.432730723691461,1.54172449524907,Viral Rebound,1
6,687,0.215203523254311,0.00232178993637846,1.74254104420517,0.0258864787175557,-0.109625234876489,0.246468971113812,-0.376339041488237,1.12938723052162,Viral Rebound,1
7,687,-0.0244241335623063,-0.0163982271452961,1.43003991174898,-0.00178635277548754,-0.194579591936796,0.0265685000693311,0.478008272329262,0.957733275775542,Viral Rebound,1
